index,title,google_scholar_search_url,arxiv_search_url
74,Mapping Language Models to Grounded Conceptual Spaces,https://scholar.google.com/scholar?q=Mapping+Language+Models+to+Grounded+Conceptual+Spaces,https://arxiv.org/search/?query=Mapping+Language+Models+to+Grounded+Conceptual+Spaces&searchtype=all
75,COCO-LM: Correcting and Contrasting Text Sequences for Language Model Pretraining,https://scholar.google.com/scholar?q=COCO-LM%3A+Correcting+and+Contrasting+Text+Sequences+for+Language+Model+Pretraining,https://arxiv.org/search/?query=COCO-LM%3A+Correcting+and+Contrasting+Text+Sequences+for+Language+Model+Pretraining&searchtype=all
76,Capturing Structural Locality in Non-parametric Language Models,https://scholar.google.com/scholar?q=Capturing+Structural+Locality+in+Non-parametric+Language+Models,https://arxiv.org/search/?query=Capturing+Structural+Locality+in+Non-parametric+Language+Models&searchtype=all
77,Differentially Private Fine-tuning of Language Models,https://scholar.google.com/scholar?q=Differentially+Private+Fine-tuning+of+Language+Models,https://arxiv.org/search/?query=Differentially+Private+Fine-tuning+of+Language+Models&searchtype=all
78,Autoregressive Entity Retrieval,https://scholar.google.com/scholar?q=Autoregressive+Entity+Retrieval,https://arxiv.org/search/?query=Autoregressive+Entity+Retrieval&searchtype=all
79,Explaining Patterns in Data with Language Models via Interpretable Autoprompting,https://scholar.google.com/scholar?q=Explaining+Patterns+in+Data+with+Language+Models+via+Interpretable+Autoprompting,https://arxiv.org/search/?query=Explaining+Patterns+in+Data+with+Language+Models+via+Interpretable+Autoprompting&searchtype=all
80,Using Document Similarity Methods to create Parallel Datasets for Code Translation,https://scholar.google.com/scholar?q=Using+Document+Similarity+Methods+to+create+Parallel+Datasets+for+Code+Translation,https://arxiv.org/search/?query=Using+Document+Similarity+Methods+to+create+Parallel+Datasets+for+Code+Translation&searchtype=all
81,Internet-augmented language models through few-shot prompting for open-domain question answering,https://scholar.google.com/scholar?q=Internet-augmented+language+models+through+few-shot+prompting+for+open-domain+question+answering,https://arxiv.org/search/?query=Internet-augmented+language+models+through+few-shot+prompting+for+open-domain+question+answering&searchtype=all
82,Towards Continual Knowledge Learning of Language Models,https://scholar.google.com/scholar?q=Towards+Continual+Knowledge+Learning+of+Language+Models,https://arxiv.org/search/?query=Towards+Continual+Knowledge+Learning+of+Language+Models&searchtype=all
83,Deepening Hidden Representations from Pre-trained Language Models,https://scholar.google.com/scholar?q=Deepening+Hidden+Representations+from+Pre-trained+Language+Models,https://arxiv.org/search/?query=Deepening+Hidden+Representations+from+Pre-trained+Language+Models&searchtype=all
84,Out-of-Distribution Detection and Selective Generation for Conditional Language Models,https://scholar.google.com/scholar?q=Out-of-Distribution+Detection+and+Selective+Generation+for+Conditional+Language+Models,https://arxiv.org/search/?query=Out-of-Distribution+Detection+and+Selective+Generation+for+Conditional+Language+Models&searchtype=all
85,Meta-Weighted Language Model Tuning for Augmentation-Enhanced Few-Shot Learning,https://scholar.google.com/scholar?q=Meta-Weighted+Language+Model+Tuning+for+Augmentation-Enhanced+Few-Shot+Learning,https://arxiv.org/search/?query=Meta-Weighted+Language+Model+Tuning+for+Augmentation-Enhanced+Few-Shot+Learning&searchtype=all
86,Knowledge-in-Context: Towards Knowledgeable Semi-Parametric Language Models,https://scholar.google.com/scholar?q=Knowledge-in-Context%3A+Towards+Knowledgeable+Semi-Parametric+Language+Models,https://arxiv.org/search/?query=Knowledge-in-Context%3A+Towards+Knowledgeable+Semi-Parametric+Language+Models&searchtype=all
87,Interactively Generating Explanations for Transformer Language Models,https://scholar.google.com/scholar?q=Interactively+Generating+Explanations+for+Transformer+Language+Models,https://arxiv.org/search/?query=Interactively+Generating+Explanations+for+Transformer+Language+Models&searchtype=all
88,Large language models are not zero-shot communicators,https://scholar.google.com/scholar?q=Large+language+models+are+not+zero-shot+communicators,https://arxiv.org/search/?query=Large+language+models+are+not+zero-shot+communicators&searchtype=all
89,SaMoE: Parameter Efficient MoE Language Models via Self-Adaptive Expert Combination,https://scholar.google.com/scholar?q=SaMoE%3A+Parameter+Efficient+MoE+Language+Models+via+Self-Adaptive+Expert+Combination,https://arxiv.org/search/?query=SaMoE%3A+Parameter+Efficient+MoE+Language+Models+via+Self-Adaptive+Expert+Combination&searchtype=all
90,Recitation-Augmented Language Models,https://scholar.google.com/scholar?q=Recitation-Augmented+Language+Models,https://arxiv.org/search/?query=Recitation-Augmented+Language+Models&searchtype=all
91,Language models are multilingual chain-of-thought reasoners,https://scholar.google.com/scholar?q=Language+models+are+multilingual+chain-of-thought+reasoners,https://arxiv.org/search/?query=Language+models+are+multilingual+chain-of-thought+reasoners&searchtype=all
92,Memorizing Transformers,https://scholar.google.com/scholar?q=Memorizing+Transformers,https://arxiv.org/search/?query=Memorizing+Transformers&searchtype=all
93,FLEX: Unifying Evaluation for Few-Shot NLP,https://scholar.google.com/scholar?q=FLEX%3A+Unifying+Evaluation+for+Few-Shot+NLP,https://arxiv.org/search/?query=FLEX%3A+Unifying+Evaluation+for+Few-Shot+NLP&searchtype=all
94,Ensembles and Cocktails: Robust Finetuning for Natural Language Generation,https://scholar.google.com/scholar?q=Ensembles+and+Cocktails%3A+Robust+Finetuning+for+Natural+Language+Generation,https://arxiv.org/search/?query=Ensembles+and+Cocktails%3A+Robust+Finetuning+for+Natural+Language+Generation&searchtype=all
95,Debiasing Pretrained Text Encoders by Paying Attention to Paying Attention,https://scholar.google.com/scholar?q=Debiasing+Pretrained+Text+Encoders+by+Paying+Attention+to+Paying+Attention,https://arxiv.org/search/?query=Debiasing+Pretrained+Text+Encoders+by+Paying+Attention+to+Paying+Attention&searchtype=all
96,Selective Annotation Makes Language Models Better Few-Shot Learners,https://scholar.google.com/scholar?q=Selective+Annotation+Makes+Language+Models+Better+Few-Shot+Learners,https://arxiv.org/search/?query=Selective+Annotation+Makes+Language+Models+Better+Few-Shot+Learners&searchtype=all
97,The Inductive Bias of In-Context Learning: Rethinking Pretraining Example Design,https://scholar.google.com/scholar?q=The+Inductive+Bias+of+In-Context+Learning%3A+Rethinking+Pretraining+Example+Design,https://arxiv.org/search/?query=The+Inductive+Bias+of+In-Context+Learning%3A+Rethinking+Pretraining+Example+Design&searchtype=all
98,Examining Scaling and Transfer of Language Model Architectures for Machine Translation,https://scholar.google.com/scholar?q=Examining+Scaling+and+Transfer+of+Language+Model+Architectures+for+Machine+Translation,https://arxiv.org/search/?query=Examining+Scaling+and+Transfer+of+Language+Model+Architectures+for+Machine+Translation&searchtype=all
99,Does Entity Abstraction Help Generative Transformers Reason?,https://scholar.google.com/scholar?q=Does+Entity+Abstraction+Help+Generative+Transformers+Reason%3F,https://arxiv.org/search/?query=Does+Entity+Abstraction+Help+Generative+Transformers+Reason%3F&searchtype=all
100,Words are all you need? Language as an approximation for human similarity judgments,https://scholar.google.com/scholar?q=Words+are+all+you+need%3F+Language+as+an+approximation+for+human+similarity+judgments,https://arxiv.org/search/?query=Words+are+all+you+need%3F+Language+as+an+approximation+for+human+similarity+judgments&searchtype=all
